Unnamed: 0,rank_date,title,rank,author,full_price,selling_price,category,publisher,available?
0,2021-09-25,ฝ่ากฎรักต่างโลก เล่ม 3 (เล่มจบ) + Vbox,1.0,เจียวถังตงกวา,730.0,584.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Coming Soon
1,2021-09-25,ฝ่ากฎรักต่างโลก เล่ม 3 (เล่มจบ),2.0,เจียวถังตงกวา,405.0,344.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Coming Soon
2,2021-09-25,ฝ่ากฎรักต่างโลก เล่ม 2,3.0,เจียวถังตงกวา,425.0,361.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
3,2021-09-25,มหาวิทยาลัยซอมบี้ ZOMBIES IN COLLEGE เล่ม 3,5.0,เหยียนเหลียงอวี่,365.0,310.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
4,2021-09-25,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 5,6.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),375.0,318.75,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
5,2021-09-25,สวรรค์ประทานพร เล่ม 1,7.0,โม่เซียงถงซีว,360.0,306.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
6,2021-09-25,งานเลี้ยงแห่งวสันตกาล เล่ม 1-2 (SET 2 เล่ม - 4 เล่มจบ),9.0,ไป๋ลู่เฉิงซวง,780.0,624.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
7,2021-09-25,ไม้ใบ Foliage Plants,10.0,ภวพล ศุภนันทนานนท์,695.0,625.5,Books/บ้านและสวน/บ้านและสวน,บ้านและสวน,Add to Cart
8,2021-09-25,ภาวะผู้นำ 5 ระดับ THE 5 LEVELS OF LEADERSHIP,11.0,John C.Maxwell (จอห์น ซี. แม็กซ์เวลล),325.0,276.25,Books/บริหาร ธุรกิจ/การบริหารธุรกิจ,เนชั่นบุ๊คส์,Add to Cart
9,2021-09-25,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 4,13.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),360.0,306.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
10,2021-09-25,ถ้าเป็นเธอจะต้องผ่านมันไปได้แน่นอน,14.0,คิมจีฮุน (Ji Hun Kim),395.0,335.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
11,2021-09-25,อิท (IT) เล่ม 1-2 โดย สตีเฟน คิง (Stephen King),15.0,สตีเวน คิง (Stephen King),990.0,792.0,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
12,2021-09-25,ปักรักลายบุปผา เล่ม 1-2 (ชุด 2 เล่มจบ),17.0,เย่ว์เซี่ยเตี๋ยอิ่ง (Yue Xia Die Ying),670.0,536.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
13,2021-09-25,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 1,18.0,โม่เซียงถงซีว,399.0,319.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
14,2021-09-25,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 2,19.0,โม่เซียงถงซีว,419.0,335.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
15,2021-09-25,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 1 (พิมพ์ครั้ง 2),21.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),425.0,361.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
16,2021-09-25,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 2,22.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),385.0,327.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
17,2021-09-25,STRENGTHSFINDER เจาะจุดแข็ง 2.0,23.0,Tom Rath,450.0,382.5,Books/บริหาร ธุรกิจ/การบริหารธุรกิจ,เนชั่นบุ๊คส์,Add to Cart
18,2021-09-25,TINY HABITS เปลี่ยนน้อยนิดเพื่อพิชิตทุกเป้าหมาย,25.0,ดร.บีเจ ฟ็อกก์,395.0,335.75,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
19,2021-09-25,ปราชญ์แห่งธนู THE ARCHER,26.0,Paulo Coelho,225.0,191.25,Books/นิยาย/นิยายแฟนตาซี,นานมีบุ๊คส์,Add to Cart
20,2021-09-25,ศิลปะการพูดให้เหมือนนั่งในใจคน,27.0,คิมยุนนา (Yun-na-Kim),245.0,208.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
21,2021-09-25,EGO IS THE ENEMY ตัวคุณคือศัตรู,29.0,Ryan Holiday,285.0,242.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,วีเลิร์น (WeLearn),Add to Cart
22,2021-09-25,Oxford Basic English Dict,30.0,กองบรรณาธิการ,99.0,84.15,Books/หนังสือเตรียมสอบ แนวข้อสอบ/พจนานุกรม,หน้าต่างสู่โลกกว้าง,Add to Cart
23,2021-09-25,ฆ่าหมาป่า เล่ม 2,31.0,Priest (พีต้า),380.0,323.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
24,2021-09-25,ยอดพธูโจรสลัด (มี 2 เล่ม),33.0,เยวี่ยชูอวิ้น (Yue Chu Yun),840.0,672.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
25,2021-09-25,อาชญากรรม (รัก) ในม่านเมฆ เล่ม 1 (พิมพ์ครั้งที่ 2),34.0,Huai Shang,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
26,2021-09-25,ปาฏิหาริย์ร้านชำของคุณนามิยะ โดย ฮิงาชิโนะ เคโงะ,35.0,ฮิงาชิโนะ เคโงะ (Keigo Higashino),295.0,250.75,Books/นิยายแปล/นิยายแปล,น้ำพุ,Add to Cart
27,2021-09-25,โกโก้อุ่นๆ กับคุณในวันพฤหัสฯ,37.0,มิจิโกะ อาโอยามะ (Michiko Aoyama),225.0,191.25,Books/วรรณกรรม/เรื่องสั้น,Piccolo,Add to Cart
28,2021-09-25,อาชญากรรม (รัก) ในม่านเมฆ เล่ม 4 (พิมพ์ครั้งที่ 2),38.0,Huai Shang,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
29,2021-09-25,ผมไม่ได้ตั้งใจตายในหมู่บ้านไร้อาชญากรรม,39.0,ฮวังเซยอน,315.0,267.75,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
30,2021-09-25,ปรมาจารย์ลัทธิมาร เล่ม 3,41.0,โม่เซียงถงซีว,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,เบเกอรี่บุ๊ค (Bakery,Add to Cart
